,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG,XP_AV,1-19_AV,20-29_AV,30-39_AV,40-49_AV,50+_AV,TOTAL_AV
0,Bert Auburn,TEX,52.0,52.0,0.0,0.0,7.0,8.0,10.0,10.0,9.0,12.0,2.0,4.0,28.0,34.0,54.0,0.9359999999999999,0.0,-1.4319999999999986,5.120000000000001,3.5040000000000013,0.14400000000000013,8.272000000000004
1,Graham Nicholson,M-OH,35.0,36.0,1.0,1.0,6.0,6.0,10.0,10.0,9.0,10.0,1.0,1.0,27.0,28.0,52.0,-0.35199999999999676,0.0,1.176000000000002,5.120000000000001,7.420000000000002,1.536,14.900000000000007
2,Alex Hale,OKST,36.0,38.0,0.0,0.0,10.0,11.0,7.0,8.0,6.0,9.0,3.0,4.0,26.0,32.0,53.0,-1.3160000000000025,0.0,-0.8439999999999976,1.096,0.3780000000000001,3.144,2.458
3,Jose Pizano,UNLV,52.0,52.0,0.0,0.0,5.0,5.0,11.0,11.0,7.0,9.0,2.0,2.0,25.0,27.0,52.0,0.9359999999999999,0.0,0.9800000000000004,5.6320000000000014,3.378,3.072,13.998000000000001
4,Harrison Mevis,MIZ,43.0,44.0,0.0,0.0,11.0,11.0,8.0,9.0,2.0,5.0,3.0,5.0,24.0,30.0,61.0,-0.2079999999999984,0.0,2.1560000000000024,1.6080000000000005,-3.789999999999999,1.6799999999999997,1.446000000000005
5,Jonah Dalmas,BOIS,48.0,49.0,1.0,1.0,6.0,7.0,7.0,8.0,6.0,6.0,4.0,5.0,24.0,27.0,56.0,-0.1180000000000021,0.0,-1.6280000000000001,1.096,6.252000000000001,4.68,10.281999999999998
6,Dylan Lynch,FRES,40.0,40.0,0.0,0.0,6.0,7.0,9.0,10.0,7.0,10.0,2.0,3.0,24.0,30.0,52.0,0.7199999999999989,0.0,-1.6280000000000001,2.120000000000001,1.4200000000000017,1.6080000000000005,4.240000000000002
7,Michael Lantz,GASO,45.0,45.0,0.0,0.0,7.0,7.0,10.0,11.0,6.0,9.0,0.0,1.0,23.0,28.0,48.0,0.8100000000000023,0.0,1.3719999999999999,2.6320000000000014,0.3780000000000001,-1.464,3.7280000000000038
8,Joshua Karty,STAN,21.0,21.0,0.0,0.0,5.0,5.0,7.0,8.0,7.0,7.0,4.0,7.0,23.0,27.0,56.0,0.3780000000000001,0.0,0.9800000000000004,1.096,7.2940000000000005,1.7520000000000007,11.500000000000002
9,Randy Bond,TA&M,46.0,46.0,0.0,0.0,8.0,8.0,7.0,9.0,4.0,10.0,4.0,5.0,23.0,32.0,52.0,0.828000000000003,0.0,1.5680000000000014,-1.3919999999999995,-7.579999999999998,4.68,-1.8959999999999937
10,Dragan Kesich,MINN,24.0,24.0,1.0,1.0,6.0,6.0,7.0,9.0,5.0,6.0,3.0,4.0,22.0,26.0,54.0,0.43200000000000216,0.0,1.176000000000002,-1.3919999999999995,3.2520000000000007,3.144,6.612000000000005
11,Andres Borregales,MIA,41.0,42.0,0.0,0.0,5.0,5.0,8.0,9.0,4.0,5.0,4.0,6.0,21.0,25.0,51.0,-0.24399999999999977,0.0,0.9800000000000004,1.6080000000000005,2.210000000000001,3.216000000000001,7.770000000000003
12,Peyton Woodring,UGA,62.0,62.0,0.0,0.0,3.0,5.0,14.0,14.0,4.0,5.0,0.0,1.0,21.0,25.0,48.0,1.1159999999999997,0.0,-5.02,7.167999999999999,2.210000000000001,-1.464,4.01
