,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG
0,Bert Auburn,TEX,52,52,0,0,7,8,10,10,9,12,2,4,28,34,54
1,Graham Nicholson,M-OH,35,37,1,1,6,6,10,10,9,10,1,1,27,28,52
2,Alex Hale,OKST,36,38,0,0,10,11,7,8,6,9,3,4,26,32,53
3,Jose Pizano,UNLV,52,52,0,0,5,5,11,11,7,9,2,2,25,27,52
4,Harrison Mevis,MIZ,43,44,0,0,11,11,8,9,2,5,3,5,24,30,61
5,Jonah Dalmas,BOIS,48,49,1,1,6,7,7,8,6,6,4,5,24,27,56
6,Dylan Lynch,FRES,40,40,0,0,6,7,9,10,7,10,2,3,24,30,52
7,Michael Lantz,GASO,45,45,0,0,7,7,10,11,6,9,0,1,23,28,48
8,Joshua Karty,STAN,21,21,0,0,5,5,7,8,7,7,4,7,23,27,56
9,Randy Bond,TA&M,46,46,0,0,8,8,7,9,4,10,4,5,23,32,52
10,Dragan Kesich,MINN,24,24,1,1,6,6,7,9,5,6,3,4,22,26,54
11,Andres Borregales,MIA,41,42,0,0,5,5,8,9,4,5,4,6,21,25,51
12,Peyton Woodring,UGA,62,62,0,0,3,5,14,14,4,5,0,1,21,25,48
13,Will Reichard,ALA,53,53,0,0,3,3,7,7,7,10,3,3,20,23,51
14,Cam Little,ARK,33,33,0,0,7,7,4,5,5,7,4,5,20,24,56
15,John Love,VT,39,39,0,0,7,7,7,8,6,7,0,0,20,22,47
16,Collin Rogers,SMU,64,65,0,0,6,6,7,9,5,9,2,2,20,26,51
17,Ethan Albertson,NMSU,49,50,0,0,6,7,7,9,5,7,1,1,19,24,52
18,Chase Contreraz,ISU,34,35,0,0,4,4,6,8,7,9,2,3,19,24,56
19,Michael Hughes,APP,54,54,0,0,10,10,4,4,3,6,2,2,19,22,54
20,Valentino Ambrosio,TULN,40,40,0,0,9,10,4,6,6,8,0,0,19,24,47
21,Charles Campbell,TENN,44,44,0,0,9,9,6,6,3,5,0,3,18,23,49
22,Alex Felkins,PSU,45,45,0,0,6,6,4,4,7,9,1,3,18,22,50
23,Ryan Fitzgerald,FSU,58,58,1,1,4,5,8,8,5,6,0,0,18,20,48
24,Noah Burnette,UNC,42,42,0,0,8,8,4,5,6,6,0,0,18,19,48
25,Will Bettridge,UVA,31,31,0,0,5,6,8,8,5,7,0,0,18,21,46
26,Scott Taylor Renfroe,TROY,49,49,0,0,9,9,7,7,2,6,0,0,18,22,44
27,Isaiah Hankins,BAY,21,23,0,0,6,6,6,8,4,8,2,3,18,25,54
28,Drew Stevens,IOWA,19,20,0,0,7,8,5,6,4,8,2,4,18,26,53
29,Andrew Conrad,ECU,20,21,0,0,4,5,6,6,7,11,1,3,18,25,51
30,Gianni Spetic,OHIO,33,34,2,2,11,12,4,5,1,5,0,2,18,26,40
31,Andrew Stein,USM,27,28,1,1,5,5,6,8,4,7,1,2,17,23,52
32,Brock Travelstead,LOU,39,41,0,0,3,4,9,12,4,6,1,2,17,24,53
33,Trey Smack,FLA,29,29,0,0,5,5,6,6,4,7,2,3,17,21,54
