RK;NAME;TEAM;POS;FGM;FGA;FG%;LNG;1-19;20-29;30-39;40-49;50+;XPM;XPA;PCT
1;Bert Auburn;TEX;PK;28;34;82.4;54;0-0;7-8;10-10;9-12;2-4;52;52;100.0
2;Graham Nicholson;M-OH;PK;27;28;96.4;52;1-1;6-6;10-10;9-10;1-1;35;37;94.6
3;Alex Hale;OKST;PK;26;32;81.3;53;0-0;10-11;7-8;6-9;3-4;36;38;94.7
4;Jose Pizano;UNLV;PK;25;27;92.6;52;0-0;5-5;11-11;7-9;2-2;52;52;100.0
5;Harrison Mevis;MIZ;PK;24;30;80.0;61;0-0;11-11;8-9;2-5;3-5;43;44;97.7
5;Jonah Dalmas;BOIS;PK;24;27;88.9;56;1-1;6-7;7-8;6-6;4-5;48;49;98.0
5;Dylan Lynch;FRES;PK;24;30;80.0;52;0-0;6-7;9-10;7-10;2-3;40;40;100.0
8;Michael Lantz;GASO;PK;23;28;82.1;48;0-0;7-7;10-11;6-9;0-1;45;45;100.0
8;Joshua Karty;STAN;PK;23;27;85.2;56;0-0;5-5;7-8;7-7;4-7;21;21;100.0
8;Randy Bond;TA&M;PK;23;32;71.9;52;0-0;8-8;7-9;4-10;4-5;46;46;100.0
11;Dragan Kesich;MINN;PK;22;26;84.6;54;1-1;6-6;7-9;5-6;3-4;24;24;100.0
12;Andres Borregales;MIA;PK;21;25;84.0;51;0-0;5-5;8-9;4-5;4-6;41;42;97.6
12;Peyton Woodring;UGA;PK;21;25;84.0;48;0-0;3-5;14-14;4-5;0-1;62;62;100.0
14;Will Reichard;ALA;PK;20;23;87.0;51;0-0;3-3;7-7;7-10;3-3;53;53;100.0
14;Cam Little;ARK;PK;20;24;83.3;56;0-0;7-7;4-5;5-7;4-5;33;33;100.0
14;John Love;VT;PK;20;22;90.9;47;0-0;7-7;7-8;6-7;0-0;39;39;100.0
14;Collin Rogers;SMU;PK;20;26;76.9;51;0-0;6-6;7-9;5-9;2-2;64;65;98.5
18;Ethan Albertson;NMSU;PK;19;24;79.2;52;0-0;6-7;7-9;5-7;1-1;49;50;98.0
18;Chase Contreraz;ISU;PK;19;24;79.2;56;0-0;4-4;6-8;7-9;2-3;34;35;97.1
18;Michael Hughes;APP;PK;19;22;86.4;54;0-0;10-10;4-4;3-6;2-2;54;54;100.0
18;Valentino Ambrosio;TULN;PK;19;24;79.2;47;0-0;9-10;4-6;6-8;0-0;40;40;100.0
22;Charles Campbell;TENN;PK;18;23;78.3;49;0-0;9-9;6-6;3-5;0-3;44;44;100.0
22;Alex Felkins;PSU;PK;18;22;81.8;50;0-0;6-6;4-4;7-9;1-3;45;45;100.0
22;Ryan Fitzgerald;FSU;PK;18;20;90.0;48;1-1;4-5;8-8;5-6;0-0;58;58;100.0
22;Noah Burnette;UNC;PK;18;19;94.7;48;0-0;8-8;4-5;6-6;0-0;42;42;100.0
22;Will Bettridge;UVA;PK;18;21;85.7;46;0-0;5-6;8-8;5-7;0-0;31;31;100.0
22;Scott Taylor Renfroe;TROY;PK;18;22;81.8;44;0-0;9-9;7-7;2-6;0-0;49;49;100.0
22;Isaiah Hankins;BAY;PK;18;25;72.0;54;0-0;6-6;6-8;4-8;2-3;21;23;91.3
22;Drew Stevens;IOWA;PK;18;26;69.2;53;0-0;7-8;5-6;4-8;2-4;19;20;95.0
22;Andrew Conrad;ECU;PK;18;25;72.0;51;0-0;4-5;6-6;7-11;1-3;20;21;95.2
22;Gianni Spetic;OHIO;PK;18;26;69.2;40;2-2;11-12;4-5;1-5;0-2;33;34;97.1
32;Andrew Stein;USM;PK;17;23;73.9;52;1-1;5-5;6-8;4-7;1-2;27;28;96.4
32;Brock Travelstead;LOU;PK;17;24;70.8;53;0-0;3-4;9-12;4-6;1-2;39;41;95.1
32;Trey Smack;FLA;PK;17;21;81.0;54;0-0;5-5;6-6;4-7;2-3;29;29;100.0
32;Aidan Birr;GT;PK;17;19;89.5;48;0-0;7-7;3-3;7-9;0-0;37;38;97.4
32;Chase Meyer;TLSA;PK;17;20;85.0;47;0-0;7-7;7-8;3-5;0-0;30;31;96.8
37;Brayden Narveson;NCSU;PK;16;20;80.0;57;1-1;3-3;4-6;7-7;1-3;37;37;100.0
37;Camden Wise;JMU;PK;16;18;88.9;46;0-0;7-7;8-9;1-2;0-0;50;50;100.0
37;Noah Rauschenberg;UNT;PK;16;19;84.2;49;0-0;6-6;6-6;4-6;0-1;46;46;100.0
37;Gino Garcia;TTU;PK;16;22;72.7;55;0-0;4-4;7-8;2-5;3-5;40;40;100.0
37;James Turner;MICH;PK;16;18;88.9;50;0-0;2-2;8-8;3-4;3-4;58;59;98.3
